Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
139321,-2.526546964,-0.398876638,-1.365302826,0.847407203,2.238484184,-2.093198186,1.486499852,-0.771603657,0.338032523,-0.966594045,0.217818716,-1.266576361,-1.074588495,-3.117836184,1.421839921,0.050030376,2.466032531,1.424978653,0.782096676,-0.860631441,-0.445770423,0.330587985,0.891417307,-0.358770805,0.62873625,-0.316759794,-0.00096562,0.32178794,42,0
139321,2.148939621,-1.70303855,-0.041126434,-1.602874129,-1.740814586,0.148273776,-1.774731895,0.078852135,-0.988161354,1.587066939,0.390820189,0.569917723,1.930509263,-1.017772211,-0.731635453,0.17188837,-0.172497102,0.763055287,0.115661838,-0.237442942,-0.085989562,0.266928184,0.227983871,-0.484335618,-0.483575355,-0.243971799,0.06404616,-0.035189362,52,0
139322,2.178347214,-1.607482162,-1.440762663,-1.992181424,-0.22254826,1.460698659,-1.445976674,0.444080429,-1.331721196,1.635659663,0.54100377,-0.599102521,-0.508012729,0.017904402,0.035088893,-1.0361665,0.878886346,-0.630893832,-0.634364672,-0.526379841,-0.094916834,0.236083416,0.258350702,-0.987393967,-0.334356495,-0.076864342,0.042121452,-0.073258356,20,0
139322,-0.021745172,0.768868999,-0.527330334,-1.279208626,0.687124272,0.231024791,0.716420537,0.053916678,0.078591989,-1.528933754,0.452522062,0.255733825,0.847452178,-2.636021631,-0.26081232,1.743442123,0.511398374,1.269783428,0.340799422,0.038851842,-0.353078865,-0.980489721,0.043598783,-1.605573441,-0.868667798,0.835737316,-0.082144862,0.047250177,89.9,0
139323,2.141500805,-0.874732183,-1.90360548,-0.937011911,-0.153102671,-0.737772445,-0.194991823,-0.172563011,-0.624845965,0.9962635,0.664881025,-0.597364718,-1.633449929,0.542736739,-1.211109968,0.467042699,0.462337972,-1.249951124,1.108519357,-0.07225029,0.270332429,0.69394955,0.015638824,0.723208967,0.269246728,-0.045152376,-0.079194047,-0.077988322,41.96,0
139323,1.188243422,-2.4280352,-1.233249813,-0.32749682,-1.048043099,0.519697023,-0.362631921,0.013180529,-0.350345967,0.738171798,0.163848459,0.701007514,0.793428531,-0.004728542,-0.215016441,-0.633029431,-0.746707542,1.644735317,-0.412788646,0.471350902,-0.323173063,-1.523660671,0.037543272,0.066202424,-0.854471793,0.167268659,-0.113236997,0.036930602,494.95,0
139323,-5.265550169,-2.81245909,-0.170232863,-0.286224543,1.930087368,1.058844846,-0.557755417,0.768231725,0.727534975,0.087391742,0.646890083,0.798203833,-0.277179935,0.04693709,0.179428501,-0.029008867,0.101762541,-1.36474687,-0.176495798,-1.027981728,-0.739122966,-1.267391328,-0.94570842,-0.844772338,0.05626656,0.293576359,-0.677400729,1.488118619,107,0
139324,-0.005939715,0.682225253,1.156805786,-0.366482064,0.020249671,-0.527707363,0.488761143,-0.269654701,0.769370112,-1.085771865,-0.360526072,0.586299129,1.426231528,-2.113363325,0.442995827,0.656271645,-0.018126852,0.667905763,-0.678520715,-0.004025206,0.029057709,0.429739377,-0.01293573,-0.041599352,-0.627909188,-0.559550977,-0.132118353,-0.136027099,24.06,0
139324,2.194668242,-1.080933212,-1.152017423,-1.442327557,-0.929043062,-0.799752608,-0.762484251,-0.135537144,0.48126598,0.470524057,-1.269963772,-0.608577826,-0.993569673,0.190920533,0.599874845,-1.642752562,0.045376047,1.271964281,-0.392495176,-0.637955979,-0.276445706,-0.210632005,0.243777259,0.735350776,-0.243684197,0.714727482,-0.052713626,-0.055270394,11,0
139324,-2.872209203,2.633237716,-2.834827976,0.353806832,1.095505532,-0.543762317,-0.091968864,-2.155722964,0.600851476,0.735074442,-1.028443612,0.417089305,0.336044019,-1.165873259,-0.80004712,-0.011939828,1.063777802,0.13921314,-0.706348827,-0.686200103,2.20597688,-0.615048601,-0.224412751,0.288501265,0.119867929,-0.675913987,-0.125249348,-0.164939409,23.37,0
139325,2.120870426,-1.016475744,-0.574426687,-0.447313182,-1.015342832,-0.254521403,-1.011497303,-0.075718483,0.173991876,0.828133227,-1.75563088,-0.201544217,0.63736926,-0.389631869,0.44722537,-0.930094729,-0.529072684,1.635802726,-0.833681781,-0.521200606,-0.150768084,0.200761692,0.100041213,-0.621005567,-0.265775074,0.796243322,-0.01134916,-0.048928264,30.85,0
139326,-0.300301215,0.484581623,1.877654745,-0.228184163,-0.310834777,-0.23325745,-0.197582553,0.045995797,0.331647892,-0.419545051,-0.695107586,0.555379519,1.592663473,-0.597635629,1.17610353,0.662148927,-0.902557028,0.469631577,-0.446875218,-0.023234372,0.409336445,1.289229628,-0.038458961,0.056998074,-1.165745249,0.250657402,0.131449839,0.230076838,1.7,0
139326,2.060361059,0.086466457,-1.845242279,0.213140032,0.643507652,-0.342510337,0.060693801,-0.054143203,0.288987755,-0.20288147,0.757249042,0.609415697,-0.141231693,-0.633561796,-0.446824802,0.632917521,0.09459166,0.335151605,0.487862154,-0.14609513,-0.340658822,-0.917482251,0.28308478,0.094488372,-0.243314165,0.178588145,-0.06809642,-0.045040207,0.99,0
139326,1.895484514,-2.012869421,-0.610432453,-1.522366472,-1.630261865,-0.169776674,-1.225222199,-0.028873422,-1.278360751,1.588891144,0.572540494,0.11008848,0.851504994,-0.443751133,-0.581695355,-0.008547786,0.052993607,0.333445194,0.140743328,-0.040909669,-0.257974121,-0.67173483,0.261757711,-0.447989646,-0.664700241,-0.4975661,0.006133374,-0.017455236,189.62,0
139326,2.059408403,0.178139955,-1.819134865,0.20122394,0.759356412,-0.311009496,0.150819335,-0.128768599,0.090663194,-0.241790154,0.980501809,1.305652926,1.167982225,-0.893852342,-0.590324107,0.571643811,0.019816863,0.174751282,0.478707875,-0.060208332,-0.325008195,-0.810797588,0.266499879,0.130379481,-0.199385678,0.174095882,-0.059725981,-0.04205644,1.98,0
139326,-0.2073594,0.904034148,-0.034933781,-0.546728518,1.144189919,-0.147270101,0.81045509,0.132052252,-0.43232178,-0.833044221,0.301323,-0.695419024,-1.860751485,-0.355649581,-0.395412616,0.478672911,0.300262298,0.763521988,0.911379643,-0.092018388,-0.269526831,-0.865661294,-0.09299897,0.058520806,-0.477982231,0.22517531,0.081962643,0.162830191,0.89,0
139327,-1.053369292,-0.086683004,-0.535955136,-0.150305056,0.249037156,-0.331344761,1.178534095,0.287828874,-0.543001139,-0.93399022,0.226269809,1.050518026,0.275020272,0.763941214,-0.982917628,-0.317376579,-0.335520726,0.18447346,0.883323023,0.41791665,0.178990823,-0.032104578,0.525241539,-0.493233152,-0.64569891,-0.570615663,0.033137007,0.08354391,229.25,0
139327,1.767685802,-0.359852776,-1.697586778,0.503667604,-0.16212356,-1.059882737,0.094607318,-0.112522952,0.916710106,-0.74065404,1.145842349,0.397795349,-1.383633481,-1.136862822,-0.685838803,0.259922709,1.045650156,0.700608247,0.330723012,-0.035311181,-0.146355958,-0.481819378,0.105155791,-0.076383469,-0.183913956,-0.121140045,-0.035795414,-0.011531607,114.2,0
139328,1.911723415,0.503565762,-1.988650522,1.624520872,0.530645356,-1.342933981,0.465066022,-0.286052298,0.258824604,-0.696000778,-0.171398013,-0.349851356,-0.619369064,-1.745785347,0.612494388,0.694818854,1.324177076,0.470733558,-0.69117791,-0.15703121,-0.338675617,-0.980650578,0.232230227,-0.36394505,-0.131551012,-0.916376999,0.027569171,0.013860048,46.55,0
139328,-1.81295239,-0.020283723,1.517678538,-0.217793462,-1.582556585,1.386908729,-0.620045801,0.464081794,1.381522602,1.715043551,-0.750254796,0.99787968,0.556922295,-1.835635984,-2.898705849,-1.504199261,-0.42515207,2.137794269,-0.818478271,-0.270129469,-0.321978642,0.751308463,0.24186655,-0.353384598,-0.676144196,-0.61955694,0.754633282,0.900022771,100,0
139330,-10.61032491,-5.390237792,-1.42906031,4.799687811,1.564985414,2.362707728,0.656653577,-0.162988174,0.316044423,3.4357314,0.902805303,-0.173876609,0.588152451,-0.820654324,1.668278199,1.472468005,-0.790405093,-0.616754109,-0.339870024,-5.9639185,-1.601397722,1.268055719,1.344741589,-0.73661221,1.019226817,0.291408444,-2.940509678,2.364396311,0.76,0
139330,1.979009223,0.211351489,-2.616827769,0.884387516,1.757936989,0.456142646,0.735913503,-0.019358778,-0.442600604,0.448117643,0.794690086,0.617161455,-0.731073065,1.239452773,-0.187232081,-1.334434538,0.155916372,-1.059297442,-0.825559286,-0.403673941,0.387673457,1.38144176,-0.223527409,-1.592742066,0.706142554,-0.081464902,-0.011132912,-0.107355606,1,0
139331,-2.59442209,-2.20205493,0.407690754,-0.196055427,1.14821856,-1.191700569,-0.827445145,0.5216051,-1.99651693,0.23215621,0.068053722,-0.006020044,-0.010630213,0.859054484,0.12973197,-1.612304495,0.161758144,2.180449229,0.442986427,0.486648074,0.270952446,0.138409642,-0.325394624,-0.407498193,0.711046844,1.052564646,-0.10840627,-0.403588906,107.2,0
139331,-0.318246206,-0.851844569,1.381197701,-2.315224539,-1.144398319,0.442004946,-0.931022569,0.113026092,-1.27211768,1.046688574,-1.569210915,-1.34073101,0.387420471,-1.039522406,0.08081588,-0.256586842,0.31874314,0.560895532,0.131667977,-0.377512258,-0.056097335,0.319899651,0.138774032,0.386684293,-0.934794193,-0.280332114,0.017484605,0.238007537,54,0
139332,1.821576497,-0.620320868,-0.353735465,0.319617327,-0.156851269,1.02210916,-0.837262696,0.355694855,1.162566542,-0.162537314,-0.285332009,0.936572466,0.763126485,-0.304006708,1.103884057,-0.617044276,0.330650577,-1.490557751,-1.384218417,-0.210111273,0.260358848,1.079164041,0.217419084,-1.042241954,-0.482636253,0.667672631,0.034832007,-0.054491842,28.75,0
139333,2.03976573,0.351528097,-1.857832722,0.541291455,0.620856537,-0.348107334,-0.293418849,-0.013458224,0.786824288,-1.232172994,-0.334736718,0.082105193,1.010054058,-3.2630672,0.847664424,1.487309817,1.50647967,0.883672396,-0.313596878,-0.016139592,-0.460029986,-1.162392926,0.339672773,-0.224280539,-0.489822629,0.129941195,0.009578575,0.023853248,2.25,0
